"","ery.plate.1.2","ery.plate.1.3","ery.plate.2","ery.plate.3","ery.plate.4","ery.plate.5","ery.plate.6","ery.plate.7","pro.plate.1","pro.plate.2","pro.plate.3","pro.plate.4","pro.plate.5","pro.plate.6","pro.plate.7","t_test_p"
"AAVS1",0.234746703486806,0.550836768793119,0.790521292475112,0.153188763487051,0.168725689266855,0.0728449146507382,0.57851288648406,0.0491224085103599,0.49127926621457,0.498696362382516,0.143780442058879,0.269441064611223,0.313731628874777,0.229768081171628,0.135461020935613,0.508286920885335
"ACHE",0.609349880794954,1,NA,0.162111191937962,NA,NA,0.856765335285863,NA,0.846101668995668,NA,0.345895212511585,NA,NA,0.583502232968448,NA,0.00542968383525659
"AGFG2",0.156165222705504,0.338708360412469,NA,0.0781020648596551,NA,NA,0.681195442869421,NA,0.596448669428869,NA,0.192854806971242,NA,NA,0.211386641491534,NA,0.391629139694155
"AGK",NA,NA,0.273492840996598,0.219181759524317,NA,0.469533778075721,NA,NA,NA,0.277760956634544,0.158456500288555,NA,0.350451493410882,NA,NA,0.395492407489311
"AHR",NA,NA,0.653821054108124,NA,0.234469391354886,NA,0.732152165516411,0.307159271022822,NA,0.638162041157757,NA,0.443287088794168,NA,0.261684219397291,0.866064512601244,0.0236521902291185
"ALKBH4",NA,NA,0.739371527127031,NA,0.105359228604539,NA,0.477211796421868,0.45719889805663,NA,0.511481013014072,NA,0.367910915936004,NA,0.277740285313379,0.567877290667666,0.106621471138903
"AP4M1",NA,NA,0.650813111103923,0.214166188510336,NA,0.626870967796994,NA,NA,NA,0.299340556045217,0.123304807999419,NA,0.651051695541381,NA,NA,0.151149933657674
"ATXN7L1",NA,NA,0.301706846332085,NA,0.0881809747332379,NA,0.792284460799039,NA,NA,0.187776540440313,NA,0.348746387207089,NA,0.199703842132997,NA,0.4249963143152
"C1GALT1",NA,NA,0.727793738470536,0.124755885206833,NA,0.953252517770057,NA,NA,NA,0.251952534959583,0.203000730345919,NA,0.744678787168821,NA,NA,0.151149933657674
"C7orf43",0.151135395185784,0.143579757854862,NA,0.139144192496987,NA,NA,0.284650040807961,NA,0.272118776259218,NA,0.184918881368821,NA,NA,0.00687942685011805,NA,0.907431513275166
"C7orf61",0.251964988310015,0.297279881132345,NA,0.230588775924771,NA,NA,0,NA,0.470364520308412,NA,0.627455370649247,NA,NA,0.0233280444369497,NA,0.634569377990431
"CALN1",NA,NA,0.192268939414892,NA,0.128384087583182,NA,0.595903905427317,NA,NA,0.261960934502289,NA,0.452014285598443,NA,0.389160108942796,NA,0.366651923927466
"CARD11",NA,NA,0.443209963221961,NA,0.0668721383409078,NA,0.482820336418498,NA,NA,0.492572012582345,NA,0.370287938060236,NA,0.506939839535405,NA,0.259343210968598
"CASP2",NA,NA,0.443826058550316,0.0468974942109312,NA,0.517955667856247,NA,NA,NA,0.236000112364356,0.173396992485335,NA,0.471728762328391,NA,NA,0.484925549167035
"CCM2",NA,NA,0.569484880795914,NA,0.19888849630509,NA,0.698795211730705,NA,NA,0.414135929207354,NA,0.410440324128039,NA,0.542383787780442,NA,0.0658631873802153
"CEP41",NA,NA,0.793157695024405,NA,0.136932526944177,NA,0.124328132459021,NA,NA,0.531719276617719,NA,0.342668674806941,NA,0.375371030284484,NA,0.31109022556391
"CLDN15",0.273255575391278,0.368418485019761,NA,NA,0.0792386360508532,0.586815561166277,NA,NA,0.685845417076864,NA,NA,0.395272059855157,0.484631900232673,NA,NA,0.133296979078713
"CLEC2L",0.212695154868744,0.506047228245648,NA,NA,0.109447523264882,0.380732514691752,NA,NA,0.752449697321304,NA,NA,0.430736717319782,0.336621922955386,NA,NA,0.22373698283141
"CNTNAP2",0.329083572653806,0.558434127929259,NA,NA,0.154687174014782,0.403091011341237,NA,NA,0.645895658526543,NA,NA,0.515607747212594,0.38728813541425,NA,NA,0.0708262970259874
"COL26A1",0.201519969747642,0.244991969828255,NA,NA,0.0486787968390802,0.0364258739415177,NA,NA,0.424965772859525,NA,NA,0.260318186351319,0.153063556991598,NA,NA,0.881403039684773
"CREB5",NA,NA,0.832150246186,NA,0.136506196234148,NA,0.467615565622456,NA,NA,0.491803981815382,NA,0.344162084626149,NA,0.293650747721259,NA,0.17014963880289
"CUL1",0.0919858604186003,0.383522727679325,NA,NA,0.0529188485988928,0.64032410351843,NA,0.603706319924568,0.518668608419363,NA,NA,0.339909987844084,0,NA,0.461169379097297,0.385092512145278
"CUX1",0.478119856064137,0.867846709505497,0.900157810564023,0.2525909882311,0.39046892406814,0.493586101580571,0.936472069648517,0.878307315785174,0.996507747992309,0.70387962310124,0.450389062699515,0.937625711203275,0.528134583066425,0.936424600193744,0.624789686748412,0.000197024810608112
"DNAJB9",NA,NA,0.398175559391199,0.234608915438781,NA,0.931036291911267,NA,NA,NA,0.344661626344592,0.275700296408069,NA,0.433677293638657,NA,NA,0.117352204039511
"DNAJC30",NA,NA,0.383814600336447,0.0839728612826688,NA,0.801668197972152,NA,0.388399843887464,NA,0.384748723262241,0.112263652052807,NA,0.462237663540359,NA,0.500575758074637,0.253131666646272
"EPHB4",0.00214439656896876,0.684824559526153,NA,NA,0.0933126542733175,0.16532429863328,NA,NA,0,NA,NA,0.436825453926812,0.148930319525003,NA,NA,0.894965522094005
"FBXO24",0.272819882510015,0.44628689369484,NA,0.130626156604861,NA,NA,0.807079655840773,NA,0.564608789559498,NA,0.102156927694036,NA,NA,0.195810935798909,NA,0.391629139694155
"FIS1",0.139548553047182,0.356398639714291,NA,0.159342511747687,NA,NA,0.716942143205652,NA,0.48257801175002,NA,0.0768323703908487,NA,NA,0.607555341020569,NA,0.365430622009569
"FMC1",0.303306880473168,0.536830757715406,NA,0.183958504779683,NA,NA,0.924285231134248,NA,0.635628133865711,NA,0.245720456367332,NA,NA,0.915684960412045,NA,0.0329592363261094
"GATA1",1,0.940122756516298,1,1,1,0.794246760562706,0.653903250226226,0.391015289518618,0.690038492369009,0.567141364830752,1,1,0.697398598812328,0.581664872822446,0.761034914937323,1.5632579979706e-05
"GIMAP2",NA,NA,0.669473674202493,0.187406070359153,NA,0.309459784656681,NA,NA,NA,0.239775482003504,0.114585809672821,NA,0.548911674739085,NA,NA,0.338419578357659
"GNB2",0.326676073692409,0.57408622347461,NA,NA,0.156093236111424,0.46941706400994,NA,NA,0.619852002734778,NA,NA,0.370393835622883,0.397482204702843,NA,NA,0.0925684867248335
"GPC2",0.0882783333774007,0.470219435926252,NA,NA,0.0576598954971784,0.231879001919813,NA,NA,0.164451665185661,NA,NA,0.25826605734566,0.353340510619522,NA,NA,0.754896097194859
"GRB10",NA,NA,0.125471301071875,0.0275517349517196,NA,0.0318005309593962,NA,NA,NA,0.222344842296933,0.0910680950148474,NA,0.147759507530651,NA,NA,0.994508329647648
"GTF2IRD1",NA,NA,0.510534610197948,NA,0.192033536861392,NA,0.640066367417117,0.387084413382807,NA,0.775386485784537,NA,0.432063237070948,NA,0.771856932143659,0.504720585550089,0.0200300215780092
"HIP1",NA,NA,0.337706450702854,NA,0.10546651306995,NA,0.33727118449997,NA,NA,0.184029206599255,NA,0.47521236266117,NA,0.240554792327738,NA,0.484925549167035
"HIPK2",0.14896913000215,0.445478434840478,NA,NA,0.176338810217278,0.223729865909284,NA,NA,0.609429764090799,NA,NA,0.36216388781082,0.351139668827608,NA,NA,0.314898208087062
"HOXA10",NA,NA,0.745165449297151,NA,0.0914895939155606,NA,0.463144820252981,0.382752576366163,NA,0.543344191417467,NA,0.320680522435637,NA,0.358161177217682,0.490946739871341,0.132547714321843
"IGF2BP3",NA,NA,0.35885261870597,NA,0.0973162184239159,NA,0.845854549491064,NA,NA,0.490486900370856,NA,0.314478427227843,NA,0.37074656504721,NA,0.190457762052189
"JAZF1",NA,NA,0.259541520086091,NA,0.0619544908094865,NA,0.676034512806346,NA,NA,0.281331090657479,NA,0.357012294994591,NA,0.433397012250205,NA,0.31109022556391
"KCTD7",NA,NA,0.42201652168451,NA,0,NA,0.639926821617357,NA,NA,0.109974968070207,NA,0,NA,0.172505745124987,NA,0.853443022163345
"KIAA1549",0.147228675703131,0.515282578371161,NA,0.0812725527763998,NA,NA,0.819148325558683,NA,0.901889062819613,NA,0.336297678144775,NA,NA,0.298496532058992,NA,0.166097898489539
"KLRG2",0.1835358812752,0.417926966875123,NA,0.207614905982415,NA,NA,0.827874977590093,NA,0.710795223566166,NA,0.286770094088502,NA,NA,0.524017632030663,NA,0.0925684867248335
"KRIT1",NA,NA,0.271609932349427,0.118889938549501,NA,0.432920217227483,NA,NA,NA,0.309115373119246,0.319940933291405,NA,0.502080570571614,NA,NA,0.31109022556391
"LAMTOR4",0.197653763814291,0.519692947504908,NA,0.163236070179631,NA,NA,0.822863456918497,NA,0.621541856539951,NA,0.286011893148692,NA,NA,0.436892539233303,NA,0.105034477905995
"LIMK1",NA,NA,0.577917180115261,NA,0.0925767032855592,NA,0.775831129572483,NA,NA,0.663889468548698,NA,0.31366039552121,NA,0.395222546174281,NA,0.102554179566563
"LMBR1",NA,NA,0.680732898099449,0.272933021472236,NA,0.480286423168501,NA,NA,NA,0.475234319017213,0.26863383433128,NA,0.439635819321021,NA,NA,0.117352204039511
"LUC7L2",0.192866048508661,0.445733793654899,NA,NA,0.116154000350599,0.528033948053118,NA,0.264812603154195,0.636757640286465,NA,NA,0.362607649244489,0.482089200303391,NA,0.767739669448539,0.144751373609564
"MEPCE",0.124859281463707,0.214466274587939,NA,NA,0.0869858650016087,0.138750012853197,NA,NA,0.586021719480628,NA,NA,0.256257417123238,0.168680141476253,NA,NA,0.815795337273665
"Mock",0.259308890698065,0.474409561660624,0.630170002657435,0.21581010889481,0.114635073345269,0.24009847443024,0.332142152133756,0.279713551573886,0.474417210848371,1,0.254084173715739,0.820894204491094,0.603785896047639,0.351560530052669,0.260825771198202,0.0803427362686046
"MOSPD3",0.216719065668226,0.339824544800659,NA,NA,0.106136761231038,0.243960344947038,NA,NA,0.458992895182811,NA,NA,0.362808572248251,0.261799920437448,NA,NA,0.47260531006661
"NRF1",NA,NA,0.676100555161055,NA,0.0999568790231503,NA,0.529864793650676,0.0534289608845373,NA,0.75631653203822,NA,0.284709865946237,NA,0.525983453782416,0.439291836218261,0.19588671749124
"NUP205",NA,NA,0.158634710991469,0.132687854022288,NA,0.0326176523268575,NA,NA,NA,0.10193883620325,0,NA,0.0861182073520965,NA,NA,0.997696446999853
"PARP12",0.213424406996684,0.537700341984834,NA,NA,0.0956381705848056,0.160991234425952,NA,NA,0.594536501364556,NA,NA,0.420406194861355,0.30312546808082,NA,NA,0.365430622009569
"PCOLCE",0.323433546014195,0.471772170235718,NA,NA,0.168147753020971,0.779699492919252,NA,NA,0.740833923478049,NA,NA,0.532543743198766,0.548920605630027,NA,NA,0.0455424992963693
"PDIA4",0.527414825128601,0.628553441381127,NA,0.0467270820894796,NA,NA,0.914552990872938,NA,0.932935434103349,NA,0.213635610167602,NA,NA,0.779518688628793,NA,0.0530537573881227
"PHF14",NA,NA,0.475429924069057,0.297196032880439,NA,0.917249667889944,NA,NA,NA,0.239199207648329,0.194162757295998,NA,0.595491056318548,NA,NA,0.102554179566563
"PILRA",0.176115278046251,0.474308301462919,NA,0.0873747228266423,NA,NA,0.613857724945824,NA,0.672474132069123,NA,0.222888778795525,NA,NA,0.448625218132118,NA,0.267455905807299
"PILRB",0.284625743711099,0.451275344805306,NA,0.145645526833947,NA,NA,0.692938329669773,NA,0.575155881744339,NA,0.245163644203713,NA,NA,0.558459300493852,NA,0.105034477905995
"PLOD3",0.347697401086467,0.57968801106775,NA,0.11517596430341,NA,NA,0.798887980011982,NA,0.522928097186399,NA,0.176581836626739,NA,NA,0.351314078264793,NA,0.133296979078713
"POLD2",NA,NA,0.515767493452972,0.103458255210277,NA,0,NA,NA,NA,0.630819229815086,0.0716125013741241,NA,0.266461814566653,NA,NA,0.740656789031402
"POP7",0.196759926010347,0.17987869543153,NA,0,NA,NA,0.741776909585439,NA,0.311573110611481,NA,0.10094312403588,NA,NA,0.559735244306799,NA,0.581703255464865
"PPIA",NA,NA,0.608629281378957,0.286859887965456,NA,0.289771501885959,NA,NA,NA,0.373569518758254,0.295920708585199,NA,0.39666768528692,NA,NA,0.117352204039511
"PTCD1",NA,NA,0.55562774964552,NA,0.135390060819689,NA,0.358708491117092,0.290613879714595,NA,0.275180223896544,NA,0.576307901700508,NA,0.418999281558497,0,0.364180912639655
"PTEN",0.316850962800247,0.732292684581564,0.873505723179105,0.228008727443939,0.279220241387725,1,1,1,0.873514074970835,0.543151497731266,0.596283267580408,0.589848159851343,0.870819044145736,0.724007856927015,1,0.000208122469181237
"PTPN12",NA,NA,0.486412509201804,NA,0.178082460915569,NA,0.688418049074188,NA,NA,0.472332537135177,NA,0.388711693684661,NA,0.442609423045289,NA,0.133606074008551
"PUS7",NA,NA,0.350795838593235,0.110554919041446,NA,0.298211223726581,NA,0.295388077187894,NA,0.268075637808558,0.124059835002393,NA,0.432617898137418,NA,0.529239171640843,0.462303748210331
"RAC1",NA,NA,0,0.267992778112826,NA,0.214349419896739,NA,NA,NA,0.203161123994155,0.0457992226047369,NA,0.21364491532772,NA,NA,0.934136812619785
"SAMD9L",0.321601284406416,0.390580345550238,NA,NA,0.0648239640945025,0.469658750698436,NA,0,0.775539594728584,NA,NA,0.414312556122174,0.235237459716284,NA,0.200290898081395,0.476718235661229
"SEMA3C",NA,NA,0.701680822985527,0.247697325576813,NA,0.640376350884381,NA,0.0756212321906836,NA,0.32470952741325,0.190609566536649,NA,0.807845066124749,NA,0.374839989598647,0.11910122900835
"SERPINE1",0.218205625499313,0.609112932789452,NA,0.469886120529954,NA,NA,0.510213019701546,NA,0.530129398420159,NA,0.655743870491384,NA,NA,0.0272363791455756,NA,0.149122807017544
"SH2B2",0.194815699205048,0,NA,0.251928979342722,NA,NA,0.59570830107691,NA,0.595488838124592,NA,0.367810247473712,NA,NA,0.248293030042806,NA,0.314898208087062
"SLC12A9",0.161693820767883,0.407645334614437,NA,0.173800632709075,NA,NA,0.226801809978972,NA,0.410519124478289,NA,0.096888806828553,NA,NA,0.100802921223569,NA,0.79656862745098
"SMO",NA,NA,0.216055573344716,0.143930960064193,NA,0.566681788125382,NA,NA,NA,0.222229356570626,0.0760340044714775,NA,0.47720258408896,NA,NA,0.633348076072534
"SND1",NA,NA,0.574526051889601,0.373444124626763,NA,0.0826518955034523,NA,NA,NA,0.381854166557689,0.489902414141813,NA,0.334890746687523,NA,NA,0.235091404983046
"SP4",NA,NA,0.249681281436588,NA,0.200605687866085,NA,0.739683491190309,NA,NA,0.427162345104013,NA,0.394027306303525,NA,0.428579967655982,NA,0.17014963880289
"STK17A",NA,NA,0.700907506517946,NA,0.0937179450514405,NA,0.311205300914637,NA,NA,0.380463357310939,NA,0.408402495481213,NA,0.43893764098489,NA,0.235091404983046
"STX1A",NA,NA,0.0283986707272644,0.207406698166937,NA,0.92480332745228,NA,0.143157392953662,NA,0.0384368410802135,0.471416922407294,NA,1,NA,0.51106183613945,0.487410108624269
"SYPL1",NA,NA,0.44234454845828,NA,0.109001342558555,NA,0.907614319743425,0.236553215455632,NA,0.563650524437326,NA,0.437767939509067,NA,0.759990455094383,0.787422425661478,0.0502779851278976
"TBXAS1",0.163552501389384,0.453599864332743,NA,NA,0.0596204756489619,0.0914595196018049,NA,NA,0.481977366807785,NA,NA,0.350352037502387,0.304281418391251,NA,NA,0.66017567314007
"TES",NA,NA,0.486272555737509,0.161985343448898,NA,0.46613716999589,NA,0.25796590043866,NA,0.273273393884356,0.262632820039642,NA,0.389006841738853,NA,0.299089995171133,0.295477999812365
"TMED4",NA,NA,0.346527096068792,0.00788658101593835,NA,0.745469334553771,NA,NA,NA,0.189085320577764,0.183291932154735,NA,0.402258205287019,NA,NA,0.484925549167035
"TMEM106B",NA,NA,0.506125706003095,0.0269246927273873,NA,0.907093510254486,NA,NA,NA,0.290970329068148,0.120445786162513,NA,0.675553350190245,NA,NA,0.31109022556391
"TMEM120A",NA,NA,0.64247478259245,0.309237256264797,NA,0.946584997798468,NA,0.447330927172137,NA,0.802784266473427,0.328656265439666,NA,0.616870396363372,NA,0.291049341638093,0.00970602511859747
"TMEM248",NA,NA,0.162704290262171,NA,0.0871270303842658,NA,0.593223783497921,NA,NA,0.490805328166182,NA,0.319829326426624,NA,0.345784201111858,NA,0.338419578357659
"TNRC18",NA,NA,0.366519906966845,NA,0.173562800085979,NA,0.527743217032837,NA,NA,0.49695159993327,NA,0.478766281292337,NA,0.236195368476008,NA,0.190457762052189
"TPK1",0.0107607032633336,0.421076616007923,NA,NA,0.0616082630818382,0.319906093983016,NA,NA,0.593470069234839,NA,NA,0.322084454032692,0.226674576661988,NA,NA,0.554672108077681
"TRIM24",0.0609269328348623,0.51691358659373,NA,NA,0.272041453383675,0.721383177925735,NA,NA,0.85301090208765,NA,NA,0.678004489692388,0.658567104804345,NA,NA,0.0329592363261094
"TRIM4",NA,NA,0.514844024107968,NA,0.145102376521176,NA,0.78281264656173,NA,NA,0.511412870121245,NA,0.329838569471297,NA,0.657599750255623,NA,0.0561145510835913
"TRIM56",0.0894816312791997,0.550099832903237,NA,0.138867348043035,NA,NA,0.562075567696425,NA,0.772372361252807,NA,0.248474552836733,NA,NA,0.531222245189032,NA,0.22373698283141
"TRIP6",0,0.481358319729083,NA,0.321327819787923,NA,NA,0.652212561009203,NA,0.0969283728231905,NA,0.636053451057227,NA,NA,0.389350945333586,NA,0.314898208087062
"TSC22D4",0.0311721733535385,0.406172023229932,NA,0.186715424410278,NA,NA,0.59581145898458,NA,0.316832150828992,NA,0.0985247907085183,NA,NA,0.0349112893903591,NA,0.77626301716859
"TTC26",0.0771007272000809,0.561089863227696,NA,0.248092764628109,NA,NA,0.709685392440007,NA,0.617997734468976,NA,0.306200438678567,NA,NA,0.503682196421611,NA,0.0925684867248335
"UBN2",0.0549280581991457,0.669204704850391,NA,0.281222865632745,NA,NA,0.69898231261934,NA,0.549982365078308,NA,0.369435932992894,NA,NA,0.291815587869724,NA,0.133296979078713
"UFSP1",NA,NA,NA,0.194817608768062,NA,NA,0.610438921741405,0.0112431756125922,NA,NA,0.896648746943759,NA,NA,0.234369317601926,0.384493525653328,0.31109022556391
"VPS41",NA,NA,0.468496556992183,0.231723259681701,NA,0.256720003735263,NA,NA,NA,0.222436378294554,0.27498490637003,NA,0.280535897611064,NA,NA,0.395492407489311
"VPS50",0.0213316955940061,0.101677289009165,NA,NA,0.0997964344263161,0.491921304563838,NA,NA,0.62773434817062,NA,NA,0.282226474454903,0.512882317665075,NA,NA,0.581703255464865
"WASL",NA,NA,0.716381774567265,NA,0.180185520538791,NA,0.494842593909969,NA,NA,0.613641140690958,NA,0.39742794585067,NA,0.345717595266122,NA,0.0658631873802153
"YWHAG",NA,NA,0.433308511850981,0.238105581843306,NA,0.257013971490014,NA,NA,NA,0.250898112196259,0.248569668752593,NA,0.481214858493303,NA,NA,0.31109022556391
"ZC3HAV1L",0.0282260660204297,0.459060561332891,NA,NA,0.0870092170848175,0.209869789101097,NA,NA,0.550441277449835,NA,NA,0.433157922215562,0.440775163392044,NA,NA,0.581703255464865
"ZNF12",NA,NA,0.460633698712141,NA,0.115248968864766,NA,0.811350280168575,NA,NA,0.464679880541851,NA,0.312975105812294,NA,0.786934473809755,NA,0.133606074008551
"ZNF212",0.0855922118830742,0.446722078912558,NA,NA,0.328776220704755,0.644163141087853,NA,NA,0.841728380633605,NA,NA,0.612643120232968,0.658462863733318,NA,NA,0.0329592363261094
"ZNF277",NA,NA,0.530456597435106,NA,0.106955969014251,NA,0.783022569371034,NA,NA,0.585932437666238,NA,0.355239002418002,NA,0.502849458950685,NA,0.0768465280849182
"ZNF282",0.12878838047146,0.590639597874393,NA,NA,0.280419095063096,0.633763215274513,NA,NA,0.883461386130521,NA,NA,0.749961568135754,0.74472284760226,NA,NA,0.0193381180223285
"ZNF398",0.217807138434318,0.760083733614292,NA,0.189062692685314,NA,NA,0.616235007760107,NA,0.819457366862181,NA,0.296368369718825,NA,NA,0.604635043581745,NA,0.0388580073177596
"ZNF425",0.0499970621826006,0.676328503788547,NA,0.34118031729045,NA,NA,0.612047233010104,NA,0.647188437650156,NA,0.540788978286016,NA,NA,0.385469607805958,NA,0.0614738718453889
"ZNF783",0.0931579878396426,0.490078870209941,NA,0.272007312069373,NA,NA,0.639802426252085,NA,0.641924008131852,NA,0.457061820086097,NA,NA,0.15589803669769,NA,0.22373698283141
"ZNF786",NA,NA,NA,NA,NA,NA,NA,NA,0.615127666406443,NA,0.347296751104036,NA,NA,0.17204193468654,NA,0.213235294117647
"ZNF789",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179808644361986,0.225584616593284,NA,0.508969983128173,NA,NA,0.455882352941177
"ZNF92",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176873616598052,NA,0.343304136167992,NA,0.132089079470378,NA,0.713235294117647
"ZNHIT1",NA,NA,NA,NA,NA,NA,NA,NA,0.722259515170926,NA,0.714535314583031,NA,NA,0.410585954519457,NA,0.0379901960784314
"ZSCAN25",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.137493453219551,0.0398272144937763,NA,0.713971647832935,NA,NA,0.751225490196078
