Name,Plate.1.2,Plate.1.3,Plate.2,Plate.3,Plate.4,plate.5,Plate.6,plate.7
AAVS1,0.82396088,0.432624113,0.33809393,0.838373306,0.859473024,0.86825645,0.487252125,0.882694541
ACHE,0.596666667,0.209803922,NA,0.83106576,NA,NA,0.329727187,NA
AGFG2,0.871640977,0.537856441,NA,0.899869961,NA,NA,0.429121232,NA
AGK,NA,NA,0.722998138,0.784324472,NA,0.668148148,NA,NA
AHR,NA,NA,0.439861051,NA,0.818698673,NA,0.400273491,0.831423213
ALKBH4,NA,NA,0.376172608,NA,0.898773006,NA,0.544600939,0.801610686
AP4M1,NA,NA,0.442100328,0.788432268,NA,0.588779956,NA,NA
ATXN7L1,NA,NA,0.701994092,NA,0.909426987,NA,0.366231253,NA
C1GALT1,NA,NA,0.384791746,0.861660079,NA,0.424137931,NA,NA
C7orf43,0.874692875,0.634655532,NA,0.849875931,NA,NA,0.653614458,NA
C7orf61,0.813513514,0.558408216,NA,0.774982027,NA,NA,0.814761216,NA
CALN1,NA,NA,0.783465645,NA,0.884492951,NA,0.47740668,NA
CARD11,NA,NA,0.596651446,NA,0.922642762,NA,0.541425819,NA
CASP2,NA,NA,0.596192791,0.925426774,NA,0.643721896,NA,NA
CCM2,NA,NA,0.502645503,NA,0.840766002,NA,0.419157609,NA
CEP41,NA,NA,0.336131248,NA,0.879191195,NA,0.744376278,NA
CLDN15,0.800595238,0.523117889,NA,NA,0.91497304,0.608985765,NA,NA
CLEC2L,0.837340877,0.454843238,NA,NA,0.896237439,0.712943633,NA,NA
CNTNAP2,0.766721044,0.428855227,NA,NA,0.868179734,0.701664968,NA,NA
COL26A1,0.844121532,0.584347121,NA,NA,0.933926302,0.886627907,NA,NA
CREB5,NA,NA,0.307103064,NA,0.879455606,NA,0.55003358,NA
CUL1,0.910582445,0.515625,NA,NA,0.931296615,0.581993569,NA,0.7725
CUX1,0.676291793,0.275362319,0.25647452,0.756962025,0.721947509,0.656015038,0.284603421,0.717937417
DNAJB9,NA,NA,0.630177515,0.771689498,NA,0.435344828,NA,NA
DNAJC30,NA,NA,0.640868597,0.895061728,NA,0.500604108,NA,0.815280899
EPHB4,0.965094649,0.36615566,NA,NA,0.906244311,0.82160555,NA,NA
FBXO24,0.800859599,0.484489051,NA,0.856852276,NA,NA,0.357855362,NA
FIS1,0.881723307,0.529080675,NA,0.833333333,NA,NA,0.408884225,NA
FMC1,0.782361309,0.439572193,NA,0.813172622,NA,NA,0.291502663,NA
GATA1,0.359635812,0.239507731,0.182146543,0.144827586,0.343915344,0.504347826,0.444571953,0.814761216
GIMAP2,NA,NA,0.428208386,0.810349036,NA,0.748896911,NA,NA
GNB2,0.768181818,0.42109056,NA,NA,0.867307692,0.668207024,NA,NA
GPC2,0.912832024,0.472616633,NA,NA,0.92835621,0.788032264,NA,NA
GRB10,NA,NA,0.833193454,0.941271118,NA,0.888961145,NA,NA
GTF2IRD1,NA,NA,0.546531303,NA,0.845017459,NA,0.452405322,0.815542272
HIP1,NA,NA,0.675194021,NA,0.898706468,NA,0.623824451,NA
HIPK2,0.876007278,0.48489011,NA,NA,0.854751354,0.792143067,NA,NA
HOXA10,NA,NA,0.371859296,NA,0.907374976,NA,0.552564569,0.816402998
IGF2BP3,NA,NA,0.659451659,NA,0.903761294,NA,0.335904027,NA
JAZF1,NA,NA,0.733384263,NA,0.925692695,NA,0.43204295,NA
KCTD7,NA,NA,0.612429001,NA,0.964116971,NA,0.452484322,NA
KIAA1549,0.877063316,0.45026178,NA,0.897273304,NA,NA,0.351023018,NA
KLRG2,0.855033557,0.498557799,NA,0.793797825,NA,NA,0.346082665,NA
KRIT1,NA,NA,0.724399878,0.86646434,NA,0.68661773,NA,NA
LAMTOR4,0.846467391,0.448073891,NA,0.830144475,NA,NA,0.348919799,NA
LIMK1,NA,NA,0.496368039,NA,0.906700749,NA,0.375545852,NA
LMBR1,NA,NA,0.419826405,0.740301724,NA,0.662724014,NA,NA
LUC7L2,0.849372385,0.484763432,NA,NA,0.892078071,0.638637943,NA,0.839837398
MEPCE,0.890636169,0.59949026,NA,NA,0.910168196,0.835010855,NA,NA
Mock,0.809057528,0.470538002,0.457468185,0.787085883,0.893020112,0.78388598,0.626728111,0.836876614
MOSPD3,0.834899329,0.537302726,NA,NA,0.898290779,0.781937873,NA,NA
NRF1,NA,NA,0.423274974,NA,0.902123552,NA,0.514792899,0.881838839
NUP205,NA,NA,0.808504801,0.855163728,NA,0.888548951,NA,NA
PARP12,0.836898396,0.439140811,NA,NA,0.904802022,0.823791349,NA,NA
PCOLCE,0.770149254,0.471846355,NA,NA,0.859831461,0.511686144,NA,NA
PDIA4,0.646381579,0.394070548,NA,0.925566343,NA,NA,0.297012302,NA
PHF14,NA,NA,0.572665148,0.720430108,NA,0.442299442,NA,NA
PILRA,0.859536082,0.470588235,NA,0.892275574,NA,NA,0.467242621,NA
PILRB,0.793696275,0.482014388,NA,0.844551282,NA,NA,0.422473321,NA
PLOD3,0.755426918,0.418311634,NA,0.869506117,NA,NA,0.362492853,NA
POLD2,NA,NA,0.542635659,0.879103022,NA,0.905002811,NA,NA
POP7,0.847009736,0.616648412,NA,0.963836227,NA,NA,0.394824708,NA
PPIA,NA,NA,0.473504274,0.7288955,NA,0.758828596,NA,NA
PTCD1,NA,NA,0.512961508,NA,0.880147835,NA,0.611688312,0.834710744
PTEN,0.774143302,0.342607747,0.276315789,0.777095109,0.790944123,0.400556328,0.248638838,0.693757362
PTPN12,NA,NA,0.564489112,NA,0.853669939,NA,0.425032353,NA
PUS7,NA,NA,0.665449566,0.873290793,NA,0.754571208,NA,0.833762122
RAC1,NA,NA,0.926601141,0.744347826,NA,0.796875,NA,NA
SAMD9L,0.771260997,0.512123868,NA,NA,0.923913043,0.668085106,NA,0.89245505
SEMA3C,NA,NA,0.404231626,0.760969977,NA,0.581967213,NA,0.877429286
SERPINE1,0.833997344,0.403714565,NA,0.578995434,NA,NA,0.525918208,NA
SH2B2,0.848189415,0.705882353,NA,0.757504216,NA,NA,0.477517416,NA
SLC12A9,0.868286445,0.503658295,NA,0.821492007,NA,NA,0.686363636,NA
SMO,NA,NA,0.765757576,0.845955527,NA,0.619142176,NA,NA
SND1,NA,NA,0.49889258,0.657982262,NA,0.863309353,NA,NA
SP4,NA,NA,0.740724763,NA,0.839700997,NA,0.396009839,NA
STK17A,NA,NA,0.404807325,NA,0.905992949,NA,0.638580931,NA
STX1A,NA,NA,0.90545962,0.793968349,NA,0.438489025,NA,0.864010007
SYPL1,NA,NA,0.597295708,NA,0.896514161,NA,0.300940439,0.845452473
TBXAS1,0.867158672,0.480861244,NA,NA,0.927140255,0.858866378,NA,NA
TES,NA,NA,0.564593301,0.831168831,NA,0.669861555,NA,0.841197822
TMED4,NA,NA,0.668627451,0.957377049,NA,0.528953427,NA,NA
TMEM106B,NA,NA,0.549813532,0.941784671,NA,0.44742268,NA,NA
TMEM120A,NA,NA,0.448307835,0.710568242,NA,0.427501338,NA,0.803571429
TMEM248,NA,NA,0.805475184,NA,0.910080645,NA,0.478923957,NA
TNRC18,NA,NA,0.653743711,NA,0.85647304,NA,0.515993971,NA
TPK1,0.959866619,0.496995326,NA,NA,0.925907426,0.743627307,NA,NA
TRIM24,0.929427759,0.449452672,NA,NA,0.795396419,0.541103604,NA,NA
TRIM4,NA,NA,0.54332314,NA,0.874124241,NA,0.371593459,NA
TRIM56,0.912101911,0.432989691,NA,0.850102669,NA,NA,0.496557659,NA
TRIP6,0.966395783,0.467090873,NA,0.700665966,NA,NA,0.44552909,NA
TSC22D4,0.947481756,0.504389173,NA,0.810914681,NA,NA,0.477459016,NA
TTC26,0.919614148,0.427537774,NA,0.760646109,NA,NA,0.412992434,NA
UBN2,0.933067636,0.373904333,NA,0.73351227,NA,NA,0.419051687,NA
UFSP1,NA,NA,NA,0.804278922,NA,NA,0.469178082,0.890221057
VPS41,NA,NA,0.577826725,0.774052875,NA,0.775501308,NA,NA
VPS50,0.953452564,0.655442443,NA,NA,0.90222306,0.656854839,NA,NA
WASL,NA,NA,0.393287435,NA,0.852365618,NA,0.53461975,NA
YWHAG,NA,NA,0.604022627,0.768825698,NA,0.775353017,NA,NA
ZC3HAV1L,0.949269336,0.47815231,NA,NA,0.910153713,0.799134734,NA,NA
ZNF12,NA,NA,0.583680266,NA,0.892639373,NA,0.355437666,NA
ZNF212,0.914461855,0.484273165,NA,NA,0.760209424,0.58005698,NA,NA
ZNF277,NA,NA,0.531700288,NA,0.897782705,NA,0.371474617,NA
ZNF282,0.888252149,0.412878788,NA,NA,0.790200592,0.585303186,NA,NA
ZNF398,0.83423913,0.328821207,NA,0.808992248,NA,NA,0.465896788,NA
ZNF425,0.936059567,0.37037037,NA,0.684406599,NA,NA,0.468267581,NA
ZNF783,0.909871245,0.462764796,NA,0.741059888,NA,NA,0.452554745,NA